timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1631371942034,200,Home Page,200,OK,Thread Group 1-1,True,3054,10,50,170,0,50
1631371942105,300,Login Page,302,Found,Thread Group 1-2,True,4078,10,50,180,0,60
1631371942200,500,Search Page,404,Not Found,Thread Group 1-3,False,5123,10,50,210,0,70
1631371946410,717,Checkout Page,302,Found,Thread Group 1-79,True,7960,9,23,181,0,78
1631371946565,807,Checkout Page,200,OK,Thread Group 1-30,True,4235,4,67,179,0,44
1631371943497,277,Login Page,200,OK,Thread Group 1-1,True,9140,5,67,186,0,84
1631371945074,507,Checkout Page,500,Internal Server Error,Thread Group 1-28,False,1161,11,94,382,0,84
1631371946718,357,Checkout Page,500,Internal Server Error,Thread Group 1-64,False,4099,6,52,102,0,61
1631371945582,495,Home Page,302,Found,Thread Group 1-10,True,5573,9,90,124,0,65
1631371945559,640,Search Page,404,Not Found,Thread Group 1-94,False,8800,3,80,623,0,24
1631371944571,157,Login Page,404,Not Found,Thread Group 1-43,False,1777,2,52,59,0,65
1631371944119,778,Product Page,404,Not Found,Thread Group 1-10,False,2270,15,52,315,0,31
1631371946247,774,Search Page,404,Not Found,Thread Group 1-78,False,9127,17,59,709,0,78
1631371946874,299,Search Page,500,Internal Server Error,Thread Group 1-78,False,5018,18,28,116,0,46
1631371946058,940,Product Page,200,OK,Thread Group 1-81,True,4705,6,20,218,0,72
1631371946671,627,Search Page,200,OK,Thread Group 1-50,True,7230,1,75,530,0,99
1631371946771,260,Product Page,302,Found,Thread Group 1-71,True,8920,17,52,128,0,52
1631371944108,449,Search Page,404,Not Found,Thread Group 1-87,False,7032,15,21,57,0,84
1631371947150,253,Login Page,404,Not Found,Thread Group 1-75,False,4145,7,36,176,0,34
1631371943403,717,Checkout Page,500,Internal Server Error,Thread Group 1-28,False,5858,6,85,76,0,71
1631371945620,819,Login Page,404,Not Found,Thread Group 1-92,False,2676,5,95,443,0,25
1631371944329,871,Search Page,302,Found,Thread Group 1-44,True,9175,4,23,552,0,66
1631371946699,156,Home Page,200,OK,Thread Group 1-71,True,2539,13,42,114,0,36
1631371944968,680,Checkout Page,404,Not Found,Thread Group 1-67,False,2004,1,24,352,0,62
1631371947173,859,Login Page,200,OK,Thread Group 1-21,True,1093,4,95,636,0,89
1631371944895,416,Login Page,404,Not Found,Thread Group 1-81,False,2462,7,27,254,0,67
1631371945290,312,Home Page,500,Internal Server Error,Thread Group 1-34,False,9759,3,36,53,0,47
1631371945374,445,Search Page,200,OK,Thread Group 1-90,True,2520,1,52,200,0,64
1631371944043,687,Login Page,404,Not Found,Thread Group 1-43,False,7067,8,38,666,0,31
1631371944594,961,Search Page,500,Internal Server Error,Thread Group 1-89,False,2487,17,45,888,0,28
1631371944059,148,Checkout Page,200,OK,Thread Group 1-6,True,5450,6,98,119,0,84
1631371943254,674,Home Page,302,Found,Thread Group 1-89,True,7378,7,74,525,0,52
1631371947097,525,Login Page,500,Internal Server Error,Thread Group 1-37,False,4589,16,44,510,0,90
1631371945173,915,Checkout Page,500,Internal Server Error,Thread Group 1-5,False,1268,19,99,269,0,59
1631371943203,259,Checkout Page,500,Internal Server Error,Thread Group 1-22,False,7970,19,63,87,0,69
1631371943732,875,Search Page,302,Found,Thread Group 1-54,True,7934,19,47,761,0,71
1631371944009,389,Search Page,302,Found,Thread Group 1-90,True,4155,9,87,307,0,54
1631371943257,232,Home Page,302,Found,Thread Group 1-15,True,2545,18,31,93,0,71
1631371944417,408,Login Page,302,Found,Thread Group 1-91,True,8718,18,39,402,0,46
1631371944489,754,Product Page,404,Not Found,Thread Group 1-92,False,8166,13,61,308,0,69
1631371943323,762,Checkout Page,500,Internal Server Error,Thread Group 1-78,False,3944,1,30,225,0,76
1631371943541,139,Login Page,200,OK,Thread Group 1-17,True,1578,19,26,51,0,33
1631371947160,135,Home Page,404,Not Found,Thread Group 1-40,False,3144,3,64,91,0,83
1631371945300,478,Checkout Page,500,Internal Server Error,Thread Group 1-48,False,5838,14,33,125,0,77
1631371946013,678,Home Page,200,OK,Thread Group 1-16,True,8228,7,65,104,0,60
1631371947048,620,Home Page,200,OK,Thread Group 1-34,True,2777,6,99,216,0,92
1631371946341,238,Product Page,200,OK,Thread Group 1-1,True,4308,13,93,200,0,95
1631371945212,890,Product Page,302,Found,Thread Group 1-98,True,1855,11,50,707,0,77
1631371943390,112,Home Page,404,Not Found,Thread Group 1-17,False,9092,10,96,64,0,66
1631371944111,804,Login Page,302,Found,Thread Group 1-41,True,6105,15,46,407,0,68
1631371943692,788,Login Page,302,Found,Thread Group 1-94,True,2232,15,36,573,0,71
1631371946008,920,Product Page,404,Not Found,Thread Group 1-48,False,7083,15,67,197,0,29
1631371945714,553,Checkout Page,404,Not Found,Thread Group 1-55,False,1772,1,59,502,0,26
1631371943847,914,Search Page,302,Found,Thread Group 1-81,True,7685,1,89,120,0,24
1631371944672,647,Checkout Page,200,OK,Thread Group 1-64,True,9298,15,58,141,0,70
1631371946624,808,Checkout Page,302,Found,Thread Group 1-80,True,2432,6,93,72,0,60
1631371943404,574,Login Page,200,OK,Thread Group 1-35,True,7336,5,82,462,0,99
1631371945757,736,Search Page,500,Internal Server Error,Thread Group 1-38,False,9728,17,50,593,0,67
1631371944416,376,Search Page,200,OK,Thread Group 1-70,True,8867,4,43,328,0,57
1631371943583,740,Search Page,500,Internal Server Error,Thread Group 1-74,False,5834,15,22,709,0,28
1631371943671,782,Checkout Page,200,OK,Thread Group 1-50,True,1125,19,73,722,0,52
1631371943648,242,Product Page,200,OK,Thread Group 1-51,True,1935,9,56,136,0,49
1631371943990,977,Checkout Page,404,Not Found,Thread Group 1-84,False,6029,7,24,261,0,31
1631371946157,470,Product Page,404,Not Found,Thread Group 1-40,False,6283,5,27,343,0,38
1631371944103,766,Home Page,200,OK,Thread Group 1-38,True,6377,9,90,432,0,82
1631371943999,460,Product Page,500,Internal Server Error,Thread Group 1-8,False,3000,10,51,242,0,42
1631371943723,217,Search Page,500,Internal Server Error,Thread Group 1-3,False,4179,13,71,88,0,34
1631371944601,261,Login Page,200,OK,Thread Group 1-60,True,2526,9,40,104,0,70
1631371946926,363,Home Page,302,Found,Thread Group 1-9,True,4348,14,52,243,0,77
1631371944677,597,Home Page,200,OK,Thread Group 1-95,True,8578,8,59,124,0,53
1631371944262,640,Home Page,302,Found,Thread Group 1-60,True,6674,17,66,399,0,88
1631371944900,968,Search Page,302,Found,Thread Group 1-55,True,1094,2,90,608,0,24
1631371945661,867,Search Page,302,Found,Thread Group 1-68,True,1986,12,50,77,0,56
1631371944739,404,Product Page,500,Internal Server Error,Thread Group 1-66,False,1648,13,65,236,0,91
1631371946960,954,Home Page,200,OK,Thread Group 1-54,True,9921,19,70,327,0,61
1631371946825,409,Checkout Page,404,Not Found,Thread Group 1-51,False,2165,19,54,368,0,99
1631371946659,797,Search Page,302,Found,Thread Group 1-11,True,2499,5,60,711,0,28
1631371945386,875,Search Page,500,Internal Server Error,Thread Group 1-46,False,3047,6,43,146,0,21
1631371946475,229,Checkout Page,404,Not Found,Thread Group 1-24,False,6125,10,65,173,0,87
1631371945810,906,Product Page,302,Found,Thread Group 1-50,True,4162,12,35,271,0,68
1631371946044,325,Checkout Page,200,OK,Thread Group 1-65,True,8621,7,85,185,0,76
1631371946811,310,Search Page,500,Internal Server Error,Thread Group 1-15,False,2136,5,95,278,0,51
1631371943586,626,Login Page,200,OK,Thread Group 1-86,True,9195,8,20,178,0,28
1631371946221,424,Login Page,200,OK,Thread Group 1-22,True,1281,15,46,395,0,88
1631371945357,134,Checkout Page,302,Found,Thread Group 1-58,True,1306,4,88,69,0,38
1631371944368,729,Product Page,302,Found,Thread Group 1-10,True,3143,10,49,246,0,55
1631371946929,231,Home Page,404,Not Found,Thread Group 1-36,False,1531,12,30,196,0,58
1631371947146,328,Checkout Page,302,Found,Thread Group 1-82,True,1875,14,65,207,0,59
1631371946670,538,Checkout Page,404,Not Found,Thread Group 1-48,False,7331,11,37,503,0,72
1631371945477,760,Checkout Page,500,Internal Server Error,Thread Group 1-52,False,8719,4,24,437,0,31
1631371945293,763,Checkout Page,500,Internal Server Error,Thread Group 1-34,False,1603,10,57,748,0,75
1631371943421,178,Product Page,404,Not Found,Thread Group 1-60,False,3702,7,72,107,0,87
1631371945167,946,Home Page,404,Not Found,Thread Group 1-44,False,9959,7,41,147,0,51
1631371944292,120,Product Page,302,Found,Thread Group 1-50,True,7879,7,29,94,0,27
1631371946716,437,Login Page,200,OK,Thread Group 1-6,True,7615,15,69,245,0,57
1631371944785,522,Checkout Page,200,OK,Thread Group 1-89,True,1239,4,55,353,0,69
1631371943254,901,Checkout Page,404,Not Found,Thread Group 1-40,False,1697,14,65,552,0,23
1631371943564,711,Login Page,302,Found,Thread Group 1-78,True,9807,10,34,138,0,36
1631371943876,416,Search Page,200,OK,Thread Group 1-12,True,4882,13,32,274,0,46
1631371946222,601,Product Page,404,Not Found,Thread Group 1-83,False,6803,17,36,265,0,86
1631371947142,399,Login Page,302,Found,Thread Group 1-68,True,2016,1,77,282,0,32
1631371943764,613,Checkout Page,302,Found,Thread Group 1-33,True,5879,16,38,233,0,20
1631371945283,194,Home Page,500,Internal Server Error,Thread Group 1-65,False,5976,14,45,61,0,99
1631371944189,422,Login Page,404,Not Found,Thread Group 1-70,False,3086,4,82,286,0,79
1631371945778,146,Home Page,302,Found,Thread Group 1-90,True,1304,18,81,51,0,66
1631371944182,241,Home Page,500,Internal Server Error,Thread Group 1-10,False,8928,11,49,235,0,81
1631371945564,559,Search Page,404,Not Found,Thread Group 1-1,False,9658,6,81,513,0,47
1631371943939,845,Login Page,500,Internal Server Error,Thread Group 1-98,False,8082,3,94,267,0,85
1631371946875,199,Login Page,302,Found,Thread Group 1-16,True,3497,3,96,62,0,84
1631371943499,425,Home Page,404,Not Found,Thread Group 1-20,False,8724,15,69,293,0,30
1631371945367,486,Search Page,404,Not Found,Thread Group 1-80,False,7031,15,83,230,0,93
1631371944650,547,Login Page,302,Found,Thread Group 1-43,True,8339,13,49,370,0,50
1631371945781,632,Checkout Page,302,Found,Thread Group 1-34,True,5814,19,81,99,0,98
1631371943764,205,Home Page,404,Not Found,Thread Group 1-57,False,4954,16,85,179,0,64
1631371943400,426,Checkout Page,404,Not Found,Thread Group 1-63,False,2905,12,20,323,0,85
1631371947047,526,Search Page,404,Not Found,Thread Group 1-78,False,5993,7,28,77,0,71
1631371944643,249,Product Page,500,Internal Server Error,Thread Group 1-82,False,5839,7,42,72,0,74
1631371943310,652,Product Page,200,OK,Thread Group 1-57,True,9114,17,94,279,0,88
1631371944838,784,Home Page,302,Found,Thread Group 1-27,True,8446,6,35,245,0,50
1631371946508,627,Search Page,500,Internal Server Error,Thread Group 1-70,False,1653,2,56,288,0,28
1631371944847,390,Product Page,500,Internal Server Error,Thread Group 1-71,False,6145,7,41,175,0,89
1631371944342,864,Search Page,200,OK,Thread Group 1-42,True,7710,6,67,705,0,35
1631371946390,157,Home Page,302,Found,Thread Group 1-49,True,1548,17,90,51,0,54
1631371944583,199,Login Page,200,OK,Thread Group 1-72,True,7074,8,20,197,0,59
1631371945922,647,Search Page,200,OK,Thread Group 1-93,True,6374,14,20,151,0,63
1631371945173,865,Checkout Page,200,OK,Thread Group 1-86,True,5753,13,38,779,0,38
1631371944658,763,Home Page,200,OK,Thread Group 1-26,True,2670,1,76,50,0,80
1631371946928,808,Product Page,404,Not Found,Thread Group 1-28,False,2162,12,87,583,0,75
1631371946829,753,Login Page,302,Found,Thread Group 1-34,True,2026,16,37,346,0,23
1631371947026,246,Checkout Page,500,Internal Server Error,Thread Group 1-4,False,1189,5,25,66,0,42
1631371946363,895,Product Page,500,Internal Server Error,Thread Group 1-64,False,1339,5,57,676,0,58
1631371944506,460,Checkout Page,200,OK,Thread Group 1-10,True,6925,16,96,89,0,59
1631371945657,392,Checkout Page,302,Found,Thread Group 1-75,True,9308,6,77,116,0,88
1631371947036,901,Checkout Page,404,Not Found,Thread Group 1-93,False,2133,13,58,861,0,60
1631371944391,900,Search Page,500,Internal Server Error,Thread Group 1-12,False,8951,7,82,235,0,86
1631371946177,253,Login Page,200,OK,Thread Group 1-18,True,4593,7,89,184,0,80
1631371946711,903,Search Page,200,OK,Thread Group 1-1,True,4399,2,28,409,0,47
1631371945997,405,Search Page,500,Internal Server Error,Thread Group 1-6,False,6494,9,68,100,0,70
1631371946210,130,Search Page,200,OK,Thread Group 1-77,True,5725,17,99,57,0,69
1631371945476,403,Search Page,500,Internal Server Error,Thread Group 1-65,False,4969,17,64,343,0,24
1631371945398,549,Login Page,200,OK,Thread Group 1-64,True,7390,17,55,527,0,37
1631371944674,589,Search Page,302,Found,Thread Group 1-74,True,4064,13,20,280,0,99
1631371943354,747,Search Page,500,Internal Server Error,Thread Group 1-7,False,8023,5,88,152,0,25
1631371944503,606,Product Page,404,Not Found,Thread Group 1-12,False,9052,3,97,604,0,75
1631371946913,855,Login Page,302,Found,Thread Group 1-49,True,9010,2,95,379,0,39
1631371946137,543,Login Page,200,OK,Thread Group 1-6,True,3684,3,44,54,0,77
1631371946797,251,Checkout Page,302,Found,Thread Group 1-42,True,4866,12,74,54,0,51
1631371946875,384,Home Page,200,OK,Thread Group 1-10,True,2732,8,41,157,0,63
1631371946462,321,Search Page,200,OK,Thread Group 1-81,True,7944,5,31,163,0,75
1631371946390,321,Search Page,302,Found,Thread Group 1-48,True,4264,18,94,296,0,95
1631371943423,834,Search Page,500,Internal Server Error,Thread Group 1-39,False,1828,9,23,782,0,51
1631371944374,593,Checkout Page,500,Internal Server Error,Thread Group 1-44,False,3161,6,59,234,0,87
1631371943772,156,Login Page,404,Not Found,Thread Group 1-77,False,9747,13,62,88,0,34
1631371946126,453,Login Page,500,Internal Server Error,Thread Group 1-54,False,3096,10,49,167,0,48
1631371945406,162,Checkout Page,200,OK,Thread Group 1-91,True,1935,1,53,160,0,60
1631371944007,313,Login Page,302,Found,Thread Group 1-53,True,5696,3,95,224,0,57
1631371945229,274,Home Page,200,OK,Thread Group 1-80,True,6594,7,59,171,0,98
1631371946107,788,Login Page,200,OK,Thread Group 1-51,True,1233,2,81,307,0,32
1631371944297,274,Search Page,302,Found,Thread Group 1-48,True,7829,2,82,248,0,40
1631371946576,232,Login Page,302,Found,Thread Group 1-41,True,2908,17,75,108,0,63
1631371944025,549,Product Page,404,Not Found,Thread Group 1-65,False,6991,15,77,94,0,43
1631371945647,118,Search Page,302,Found,Thread Group 1-9,True,4956,19,92,84,0,56
1631371946099,778,Home Page,404,Not Found,Thread Group 1-11,False,7490,6,42,115,0,77
